After_The_Rain_valence_rmse,After_The_Rain_valence_corr,After_The_Rain_arousal_rmse,After_The_Rain_arousal_corr,Attitude_Matters_valence_rmse,Attitude_Matters_valence_corr,Attitude_Matters_arousal_rmse,Attitude_Matters_arousal_corr,Barely_legal_stories_valence_rmse,Barely_legal_stories_valence_corr,Barely_legal_stories_arousal_rmse,Barely_legal_stories_arousal_corr,Between_Viewings_valence_rmse,Between_Viewings_valence_corr,Between_Viewings_arousal_rmse,Between_Viewings_arousal_corr,Big_Buck_Bunny_valence_rmse,Big_Buck_Bunny_valence_corr,Big_Buck_Bunny_arousal_rmse,Big_Buck_Bunny_arousal_corr,Chatter_valence_rmse,Chatter_valence_corr,Chatter_arousal_rmse,Chatter_arousal_corr,Cloudland_valence_rmse,Cloudland_valence_corr,Cloudland_arousal_rmse,Cloudland_arousal_corr,Damaged_Kung_Fu_valence_rmse,Damaged_Kung_Fu_valence_corr,Damaged_Kung_Fu_arousal_rmse,Damaged_Kung_Fu_arousal_corr,Decay_valence_rmse,Decay_valence_corr,Decay_arousal_rmse,Decay_arousal_corr,Elephant_s_Dream_valence_rmse,Elephant_s_Dream_valence_corr,Elephant_s_Dream_arousal_rmse,Elephant_s_Dream_arousal_corr,First_Bite_valence_rmse,First_Bite_valence_corr,First_Bite_arousal_rmse,First_Bite_arousal_corr,Full_Service_valence_rmse,Full_Service_valence_corr,Full_Service_arousal_rmse,Full_Service_arousal_corr,Islands_valence_rmse,Islands_valence_corr,Islands_arousal_rmse,Islands_arousal_corr,Lesson_Learned_valence_rmse,Lesson_Learned_valence_corr,Lesson_Learned_arousal_rmse,Lesson_Learned_arousal_corr,Norm_valence_rmse,Norm_valence_corr,Norm_arousal_rmse,Norm_arousal_corr,Nuclear_Family_valence_rmse,Nuclear_Family_valence_corr,Nuclear_Family_arousal_rmse,Nuclear_Family_arousal_corr,On_time_valence_rmse,On_time_valence_corr,On_time_arousal_rmse,On_time_arousal_corr,Origami_valence_rmse,Origami_valence_corr,Origami_arousal_rmse,Origami_arousal_corr,Parafundit_valence_rmse,Parafundit_valence_corr,Parafundit_arousal_rmse,Parafundit_arousal_corr,Payload_valence_rmse,Payload_valence_corr,Payload_arousal_rmse,Payload_arousal_corr,Riding_The_Rails_valence_rmse,Riding_The_Rails_valence_corr,Riding_The_Rails_arousal_rmse,Riding_The_Rails_arousal_corr,Sintel_valence_rmse,Sintel_valence_corr,Sintel_arousal_rmse,Sintel_arousal_corr,Spaceman_valence_rmse,Spaceman_valence_corr,Spaceman_arousal_rmse,Spaceman_arousal_corr,Superhero_valence_rmse,Superhero_valence_corr,Superhero_arousal_rmse,Superhero_arousal_corr,Tears_of_Steel_valence_rmse,Tears_of_Steel_valence_corr,Tears_of_Steel_arousal_rmse,Tears_of_Steel_arousal_corr,The_room_of_franz_kafka_valence_rmse,The_room_of_franz_kafka_valence_corr,The_room_of_franz_kafka_arousal_rmse,The_room_of_franz_kafka_arousal_corr,The_secret_number_valence_rmse,The_secret_number_valence_corr,The_secret_number_arousal_rmse,The_secret_number_arousal_corr,To_Claire_From_Sonny_valence_rmse,To_Claire_From_Sonny_valence_corr,To_Claire_From_Sonny_arousal_rmse,To_Claire_From_Sonny_arousal_corr,Wanted_valence_rmse,Wanted_valence_corr,Wanted_arousal_rmse,Wanted_arousal_corr,You_Again_valence_rmse,You_Again_valence_corr,You_Again_arousal_rmse,You_Again_arousal_corr
0.263314,-0.177167,0.279084,0.252853,0.300004,0.082043,0.262754,0.048081,0.252465,0.268696,0.337922,0.36275,0.253167,0.276664,0.200418,0.097498,0.404025,0.036347,0.389623,0.329492,0.412857,0.186757,0.469358,0.131797,0.24158,0.288765,0.259451,-0.034174,0.346093,0.221564,0.21408,0.01212,0.428747,0.184948,0.312766,-0.066428,0.320212,-0.125073,0.210611,0.317788,0.15077,0.052605,0.210851,0.021246,0.426712,-0.029068,0.283862,-0.149684,0.658855,-0.247276,0.182321,-0.011652,0.378245,-0.120967,0.313383,0.065081,0.186902,0.164914,0.218268,0.49002,0.298946,0.048279,0.198812,0.310136,0.287432,-0.309671,0.596999,-0.232506,0.426448,0.041182,0.406211,0.116675,0.27889,-0.305226,0.233631,-0.165718,0.131397,0.126084,0.195912,0.293011,0.341566,0.029432,0.223952,0.344654,0.306074,0.323752,0.328482,0.096035,0.297005,0.033168,0.215737,-0.008293,0.435367,0.104574,0.220518,0.065224,0.172825,-0.053957,0.192122,-0.06946,0.14502,-0.038633,0.5021,0.080588,0.257832,0.094483,0.193212,0.157551,0.326293,0.688806,0.389324,-0.140338,0.522759,0.532076,0.350341,-0.682094,0.261843,-0.052781,0.154879,0.323442
0.223744,-0.41735,0.283569,-0.088255,0.277943,-0.235957,0.26579,0.05648,0.259205,0.117149,0.325667,0.053675,0.239286,0.157072,0.192018,0.093392,0.432468,0.072674,0.360153,0.227869,0.444183,0.104587,0.47438,0.043982,0.239462,0.270494,0.279139,0.118895,0.360663,0.14022,0.218012,0.073792,0.488365,0.177324,0.312001,-0.114913,0.31376,-0.076729,0.17121,-0.045036,0.139067,0.159769,0.245629,-0.018867,0.4064,-0.076922,0.283468,-0.046215,0.709097,-0.301208,0.115308,0.037951,0.41022,-0.234642,0.293376,0.061967,0.163486,0.029367,0.206826,0.189671,0.290389,0.080178,0.209664,0.265874,0.297266,-0.245361,0.547344,-0.065784,0.451697,0.076337,0.38342,0.216706,0.282398,-0.550505,0.259969,-0.472102,0.174552,-0.001187,0.171243,0.143162,0.343173,-0.00353,0.209603,0.071876,0.302969,0.229229,0.287378,-0.070493,0.284166,0.193257,0.234302,-0.134581,0.463863,-0.085481,0.226397,0.071565,0.182239,-0.087271,0.165147,0.131189,0.14271,-0.35784,0.395444,0.1507,0.252954,-0.091218,0.225979,0.001848,0.30798,0.659672,0.394172,-0.209518,0.533543,0.450322,0.288396,-0.555495,0.27503,-0.326821,0.15861,0.208708
0.238346,-0.490878,0.296246,-0.147534,0.285015,-0.324024,0.277156,0.117279,0.266464,-0.008644,0.323665,0.197235,0.224341,0.070934,0.204343,-0.076358,0.47712,-0.203777,0.350352,0.082634,0.479417,-0.033306,0.487835,0.264636,0.232224,0.161229,0.282825,0.155475,0.379635,0.051038,0.20221,0.120261,0.586724,0.216266,0.313467,-0.043207,0.331326,-0.249281,0.159348,0.172501,0.147957,-0.138311,0.277218,-0.102642,0.41902,0.087189,0.287642,0.052654,0.772208,-0.373145,0.121164,0.118914,0.425975,0.074091,0.289712,0.084838,0.178039,-0.059676,0.202535,0.13932,0.28737,0.02203,0.210499,0.140562,0.323047,-0.513823,0.559333,-0.029304,0.498869,-0.399881,0.379677,0.151764,0.269779,-0.017639,0.269948,-0.061707,0.282883,-0.424862,0.16805,0.070567,0.366466,-0.240094,0.206321,0.022511,0.335784,-0.055977,0.268289,-0.010407,0.295652,-0.156006,0.255883,0.009749,0.487552,-0.094713,0.227645,0.164171,0.217341,-0.443052,0.160731,0.227211,0.159282,-0.20526,0.35732,0.322588,0.247068,-0.250443,0.268908,-0.155526,0.308927,0.430603,0.387193,0.024378,0.530331,-0.075068,0.353066,-0.182743,0.287953,-0.330193,0.144426,0.126926
0.24617,-0.581747,0.305672,0.358439,0.307704,-0.26659,0.275505,0.12181,0.270952,-0.104034,0.349796,0.056784,0.215095,-0.098665,0.207221,0.01857,0.542203,-0.307177,0.343821,-0.040116,0.537808,-0.113814,0.517118,0.096202,0.23466,0.123017,0.288815,0.186254,0.413094,-0.157872,0.202356,0.173736,0.834119,-0.04729,0.315238,-0.112202,0.371941,-0.311285,0.197899,0.157023,0.172716,-0.322823,0.3005,0.004576,0.44117,-0.176878,0.282872,0.132798,0.870001,-0.639676,0.115487,0.091304,0.441707,-0.281837,0.29785,-0.068072,0.197619,-0.125791,0.196042,0.104827,0.298422,-0.192866,0.221883,-0.013275,0.38,-0.609076,0.562846,-0.163788,0.577195,-0.513192,0.380101,0.036075,0.260231,-0.153091,0.273545,0.472174,0.422989,-0.659915,0.165475,0.040604,0.380325,-0.39365,0.216344,0.056527,0.387599,-0.201257,0.279645,-0.031545,0.306212,-0.125883,0.26553,0.012773,0.506725,-0.054495,0.226482,0.265855,0.266439,-0.453995,0.155244,-0.007671,0.193097,-0.151647,0.343991,0.019502,0.25673,-0.376928,0.281062,-0.090511,0.295767,0.388835,0.388623,0.035746,0.510998,-0.309421,0.32165,-0.258501,0.300163,-0.411168,0.14115,0.03764
VALENCE,rmse,corr,ccc,shift
h0,0.336,0.515,0.091
h1,0.332,0.301,0.108,10
h2,0.351,0.13,0.078,10
h3,0.39,-0.022,-0.017,3
h4,0.479,-0.196,-0.185,2
h5,0.63,-0.297,-0.282,1
AROUSAL,rmse,corr,ccc,shift
h0,0.44,0.213,0.071
h1,0.273,0.346,0.236,25
h2,0.274,0.333,0.234,25
h3,0.279,0.312,0.242,25
h4,0.284,0.291,0.234,25
h5,0.29,0.266,0.223,25
